
-----------------------------------------------------
ALL
-----------------------------------------------------
so_ET, 소말리아어
so_KE, 소말리아어
so_SO, 소말리아어
sq, 알바니아어
sq_AL, 알바니아어
sq_MK, 알바니아어
sq_XK, 알바니아어
sr, 세르비아어
sr__#Cyrl, 세르비아어
sr_BA_#Cyrl, 세르비아어
sr_ME_#Cyrl, 세르비아어
sr_RS_#Cyrl, 세르비아어
sr_XK_#Cyrl, 세르비아어
sr__#Latn, 세르비아어
sr_BA_#Latn, 세르비아어
sr_ME_#Latn, 세르비아어
sr_RS_#Latn, 세르비아어
sr_XK_#Latn, 세르비아어
su, 순다어
su__#Latn, 순다어
su_ID_#Latn, 순다어
sv, 스웨덴어
sv_AX, 스웨덴어
sv_FI, 스웨덴어
sv_SE, 스웨덴어
sw, 스와힐리어
sw_CD, 스와힐리어
sw_KE, 스와힐리어
sw_TZ, 스와힐리어
sw_UG, 스와힐리어
ta, 타밀어
ta_IN, 타밀어
ta_LK, 타밀어
ta_MY, 타밀어
ta_SG, 타밀어
te, 텔루구어
te_IN, 텔루구어
teo, 테조어
teo_KE, 테조어
teo_UG, 테조어
tg, 타지크어
tg_TJ, 타지크어
th, 태국어
th_TH, 태국어
ti, 티그리냐어
ti_ER, 티그리냐어
ti_ET, 티그리냐어
tk, 투르크멘어
tk_TM, 투르크멘어
to, 통가어
to_TO, 통가어
tr, 터키어
tr_CY, 터키어
tr_TR, 터키어
tt, 타타르어
tt_RU, 타타르어
twq, 타사와크어
twq_NE, 타사와크어
tzm, 중앙 모로코 타마지트어
tzm_MA, 중앙 모로코 타마지트어
ug, 위구르어
ug_CN, 위구르어
uk, 우크라이나어
uk_UA, 우크라이나어
ur, 우르두어
ur_IN, 우르두어
ur_PK, 우르두어
uz, 우즈베크어
uz__#Arab, 우즈베크어
uz_AF_#Arab, 우즈베크어
uz__#Cyrl, 우즈베크어
uz_UZ_#Cyrl, 우즈베크어
uz__#Latn, 우즈베크어
uz_UZ_#Latn, 우즈베크어
vai, 바이어
vai__#Latn, 바이어
vai_LR_#Latn, 바이어
vai__#Vaii, 바이어
vai_LR_#Vaii, 바이어
vi, 베트남어
vi_VN, 베트남어
vun, 분조어
vun_TZ, 분조어
wae, 월저어
wae_CH, 월저어
wo, 월로프어
wo_SN, 월로프어
xh, 코사어
xh_ZA, 코사어
xog, 소가어
xog_UG, 소가어
yav, 양본어
yav_CM, 양본어
ji, 이디시어
ji_001, 이디시어
yo, 요루바어
yo_BJ, 요루바어
yo_NG, 요루바어
yue, 광둥어
yue__#Hans, 광둥어
yue_CN_#Hans, 광둥어
yue__#Hant, 광둥어
yue_HK_#Hant, 광둥어
zgh, 표준 모로코 타마지트어
zgh_MA, 표준 모로코 타마지트어
zh, 중국어
zh__#Hans, 중국어
zh_CN_#Hans, 중국어
zh_HK_#Hans, 중국어
zh_MO_#Hans, 중국어
zh_SG_#Hans, 중국어
zh__#Hant, 중국어
zh_HK_#Hant, 중국어
zh_MO_#Hant, 중국어
zh_TW_#Hant, 중국어
zu, 줄루어
zu_ZA, 줄루어



-----------------------------------------------------
Supported
-----------------------------------------------------
gl_ES, // 갈리시아어
gu_IN, // 구자라트어
el_CY, // 그리스어
nl_NL, // 네덜란드어

no_??, // 노르웨이어

da_DK, // 덴마크어
de_DE, // 독일어
lv_LV, // 라트비아어
ru_RU, // 러시아어
ro_RO, // 루마니아어
lt_LT, // 리투아니아어
mr_IN, // 마라티어
mk_MK, // 마케도니아어
ms_MY, // 말레이어
mt_MT, // 몰타어
vi_VN, // 베트남어
be_BY, // 벨라루스어
bn_BD, // 벵골어
bg_BG, // 불가리아어
sw_KE, // 스와힐리어
sv_SE, // 스웨덴어
es_ES, // 스페인어
sk_SK, // 슬로바키아어
sl_SI, // 슬로베니아어
ar_AE, // 아랍어
is_IS, // 아이슬란드어

ht_??, // 아이티어

ga_IE, // 아일랜드어
af_NA, // 아프리칸스어
sq_AL, // 알바니아어
et_EE, // 에스토니아어
eo_001, // 에스페란토어
en_US, // 영어
ur_PK, // 우르두어
uk_UA, // 우크라이나어
cy_GB, // 웨일스어
it_IT, // 이탈리아어

id?   in_ID, // 인도네시아어

ja, // 일본어
ka_GE, // 조지아어
zh_CN_#Hans, // 중국어
cs_CZ, // 체코어
ca_AD, // 카탈로니아어
kn_IN, // 칸나다어
hr_HR, // 크로아티아어

tl_??, // 타칼로그어

ta_IN, // 타밀어
th_TH, // 태국어
tr_TR, // 터키어
te_IN, // 텔루구어
fa_IR, // 페르시아어
pt_PT, // 포르투갈어
pl_PL, // 폴란드어
fr_FR, // 프랑스어
fi_FI, // 핀란드어
ko_KR, // 한국어
hu_HU, // 헝가리어

he?   iw_IL, // 히브리어

hi_IN, // 힌디어





_EOF_
